employee_id,company_id,first_name,last_name,department,position,hire_date,salary
1,150,Mariah,Edwards,Marketing,Manager,2015-11-11,30481
2,92,Robin,Dougherty,Support,Engineer,2022-05-03,53077
3,913,Robert,Shaffer,HR,Engineer,2021-01-14,138172
4,956,Jennifer,Rodriguez,Marketing,Analyst,2017-02-05,62823
5,38,Megan,Welch,Finance,Consultant,2017-06-08,143676
6,572,Shelby,Morris,Marketing,Engineer,2017-10-07,180941
7,435,Crystal,Clark,Finance,Specialist,2017-03-16,163444
8,691,Wendy,Campbell,Marketing,Analyst,2019-01-26,131910
9,436,Rebecca,Maynard,HR,Engineer,2019-05-24,187232
10,306,Edwin,Herrera,Engineering,Analyst,2020-02-14,57601
11,513,Miranda,George,Finance,Analyst,2018-12-21,152443
12,557,Christopher,Allen,HR,Engineer,2017-06-19,157145
13,52,Danielle,Stewart,Sales,Specialist,2018-07-22,149958
14,692,Anne,Gonzalez,Support,Specialist,2020-04-14,83419
15,804,Matthew,Garcia,Engineering,Manager,2016-04-16,173785
16,607,Tony,Tanner,Support,Manager,2019-05-03,164913
17,348,Kylie,Fletcher,HR,Manager,2017-04-29,32259
18,200,John,Gutierrez,Marketing,Analyst,2016-08-10,134195
19,906,Brittany,Russell,Support,Manager,2024-09-13,50866
20,109,Nathan,Jarvis,Marketing,Manager,2021-12-31,40222
21,355,Michael,Figueroa,HR,Engineer,2020-10-20,121191
22,747,James,Wiggins,Support,Specialist,2017-10-02,85888
23,709,Michelle,Green,Finance,Consultant,2021-05-24,198615
24,731,Morgan,Smith,Sales,Specialist,2016-07-17,44678
25,510,Amber,Porter,Engineering,Manager,2016-12-04,105422
26,554,Jennifer,Guerrero,HR,Specialist,2024-06-24,151064
27,763,Kelly,Johnson,Finance,Specialist,2025-03-31,102771
28,560,Patrick,Moore,HR,Analyst,2017-04-14,191392
29,690,John,Lee,Marketing,Manager,2020-07-29,145075
30,865,Kevin,Cruz,Engineering,Consultant,2020-12-23,154935
31,311,Steve,Griffith,Engineering,Analyst,2022-03-09,133038
32,739,Barbara,Snyder,Finance,Specialist,2015-10-08,96803
33,531,Joseph,Johnson,Sales,Engineer,2017-04-16,151985
34,990,Olivia,Reese,Support,Specialist,2023-09-11,39299
35,979,Denise,Nichols,Marketing,Specialist,2021-08-26,36661
36,568,Linda,Young,Sales,Consultant,2020-11-24,146765
37,300,Deanna,Martinez,Finance,Manager,2019-02-12,77531
38,604,Matthew,Brewer,Marketing,Consultant,2020-05-08,155615
39,696,Erik,Smith,HR,Analyst,2022-10-17,148807
40,474,Mary,Martin,Engineering,Manager,2016-01-14,41967
41,245,Charles,Dominguez,Engineering,Analyst,2019-03-14,76260
42,571,John,Campos,Support,Manager,2016-07-04,183886
43,802,Jake,Duffy,Marketing,Manager,2021-07-08,154343
44,568,Jacqueline,White,Marketing,Manager,2017-02-08,43174
45,564,Jonathan,Walker,Finance,Manager,2018-08-02,108104
46,679,Jesse,Vazquez,Support,Specialist,2020-05-04,150070
47,191,Michelle,Mcintyre,Finance,Specialist,2017-12-30,130680
48,575,Dawn,Charles,Marketing,Manager,2022-01-24,135790
49,458,Andrea,Simpson,HR,Specialist,2018-01-23,119157
50,7,Jasmine,West,Sales,Engineer,2023-10-06,180287
51,412,Angel,Carter,Support,Analyst,2018-08-16,94002
52,830,Shane,Bright,Sales,Analyst,2023-01-20,128889
53,917,Christopher,Walker,Support,Specialist,2021-06-26,80135
54,344,Sheri,Larson,Finance,Analyst,2017-04-14,41607
55,134,Courtney,Caldwell,Marketing,Consultant,2016-10-15,96707
56,702,William,Lee,Sales,Engineer,2022-09-02,106641
57,575,Brian,Garner,Finance,Consultant,2019-11-28,142583
58,45,Aaron,Clayton,Finance,Engineer,2020-09-18,97498
59,485,Elizabeth,Frye,Marketing,Consultant,2015-10-16,134228
60,482,Jeanette,Perry,Support,Consultant,2024-01-08,100362
61,311,Lisa,Brown,HR,Specialist,2023-07-04,40515
62,170,Kelsey,Lee,Support,Specialist,2023-05-20,77981
63,747,Gina,Reed,Support,Engineer,2024-02-10,105792
64,166,Erik,Harris,HR,Engineer,2019-10-22,59490
65,364,Christopher,Woods,Finance,Analyst,2020-08-27,124035
66,732,Chris,Chen,HR,Manager,2019-05-16,151559
67,539,Jonathan,Gentry,Sales,Manager,2022-06-02,165844
68,828,Kaitlyn,George,Engineering,Analyst,2015-07-26,198904
69,343,Jeremy,Moore,Finance,Analyst,2023-01-02,65530
70,565,Jeremy,Villarreal,Engineering,Analyst,2017-06-16,72508
71,143,Jeremy,Kim,HR,Specialist,2020-08-30,167407
72,176,Jennifer,Warren,Finance,Analyst,2022-04-16,140940
73,466,Lori,Gray,HR,Consultant,2022-01-12,153647
74,545,Anthony,Tran,Sales,Manager,2019-06-12,171859
75,494,Thomas,Lowe,Sales,Analyst,2021-05-30,49045
76,721,Pamela,Ramirez,Marketing,Analyst,2018-06-08,135565
77,121,Latoya,Estes,Support,Specialist,2023-07-05,65490
78,293,Adrian,Brewer,Sales,Manager,2015-11-23,143419
79,574,Kenneth,Vance,Sales,Consultant,2021-12-11,53701
80,129,Rodney,Fields,Engineering,Engineer,2024-07-09,125654
81,398,Thomas,Anderson,Finance,Manager,2021-11-19,174820
